设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
平头大鹌鹑	#VALUE!	王平	安平将军	3	抗击:当其他角色对你使用【杀】之后，若你的体力值不高于此【杀】的使用者，你可依次令其它角色选择是否对此【杀】的使用者使用一张【杀】（需要在攻击距离内）。	化险:每回合限一次，当其他角色成为“抗击”以外【杀】的目标时，你可交给其一张【闪】然后令其选择:1.将一张【闪】以外的牌交给你；2.将此【闪】交还给你，本回合结束前不能使用或打出【闪】。									"王平的生平两件经典事迹
1.街亭劝诫马谡不要在山头据守，最终马谡未听劝导致断水绝粮街亭失守。
2.面对几倍数量的魏军，分兵抵挡，最终与分开的援军合围，将魏军击溃。"	
Student117	#VALUE!	程普	鏖兵卫主	4	虎首：每回合限一次，你可以将一张牌当做【酒】使用。装备区中牌数小于你的角色不能响应你使用的普通【杀】。	交盏：出牌阶段限一次，你可以与一名有手牌且没有“醇香”的其他角色展示并交换一张手牌，若这两张牌类型相同，你令其获得“醇香”直到你下回合开始前。	醇香：锁定技，当场上有角色使用一张【酒】后，你摸一张牌。若此时在你的回合内，本回合你使用【杀】次数+1。								一技能“虎首”取名于程普是江东十二虎臣之首，效果有二：1.每回合限一次转化酒；2.半个强命的效果。这其中一效果能让程普每回合稳定打加伤，转化【酒】也提高了程普的生存能力，但更重要的是与二、三技能配合过牌。二效果是为了体现程普在群臣之中的地位之高，程普作为三朝老臣，功勋卓著，因此，地位（对应装备牌数）没有程普高的角色没有办法响应程普的【杀】，但是这里的【杀】只有普通杀才可以，一是为了限制强度，二是为了契合程普杀叛军得病而死的典故。程普的二技能要与三技能一块看，这两个技能取材于程普与周瑜饮醇自醉的典故，二技能可以与队友交换关键牌，由于是同时展示的，且默认不能嘴牌，能够触发给技能的效果的只有真正有默契的朋友（对应这两张类型相同）才可以。三技能“醇香”是一个增益buff，对于程普来说，一技能转化酒就变成了重铸牌转化，如果场上有多名角色同时有“醇香”，就能实现一人喝酒，多人摸牌的收益。这个技能还可以防止敌人喝酒打加伤或者脱离濒死。总之，程普作为一个集小过牌、加伤、强命、多刀、防御与一身的武将。	"Q：一技能二效果有没有每回合限一次？
A：没有，每回合限一次只限转化酒。
Q：”展示并交换“具体操作？
A：两人像“议事”般同时展示一张牌，然后再交换。"
柠檬	#VALUE!	程普	鏖兵卫主	4	扜炬：每回合结束时，你可以选择一项：移动你场上一张牌，你视为对获得牌的角色使用火【杀】；移动场上一张牌至你的装备区，此技能本轮失效。	醇谒：当你需要对濒死角色使用【桃】时，你可以令你本轮不能再使用【桃】，视为依次对其、你、当前回合角色使用【酒】。										"Q：二技能的酒是否能叠加使用？
A：是。"
狂笑的菠萝蜜（QQ362052819）	#VALUE!	曹洪	白鹄乘风	4	舍驾:每名角色的回合开始时，若其已受伤，你可以弃置一张牌，令其手牌上限+X直到本回合结束，若此牌为装备牌，则你摸X张牌（X为你与其已损失体力值之和且至多为5）。										设计者为三国爱好者，对于老曹洪设计一直有些不满，福将曹洪毕竟在三国里也是较为有名的武将，献马救操也是很经典的桥段，故技能和曹魏卖血将、装备有关，想设计成类似曹昂的保镖武将，技能名舍驾，既有舍命护驾，也有舍掉座驾之意。有福将曹洪在，曹魏众将可以将乐不思蜀和低血量时候手牌上限的影响降到最低，特别是曹操，神曹操，卖血后手里一把牌的情况下，不至于全部弃置，由于献马救操有功，故弃置装备牌可以获得补牌收益，不至于自己白板，同时补牌数量和增加手牌上限也和曹洪本身已损失体力值有关，含有伪卖血设计，和曹魏卖血流派靠拢。脑杀越到后期低血量辅助效果越好。另外设计者钟情于简单设计，特别是古早时期四血一技能，三血两技能模板，尽量不设计小作文，希望各位同好多多指导	
鲲鲲	#VALUE!	应玚	悲夫徒唏	3	同伤：有角色的体力值或手牌数于其回合外扣减至比你更低时，你可调整此值至与其相同，另一值增加等量的体力或两倍的牌。	"游落：每回合每项限一次，
你弃置时可改为将牌置于牌堆顶，
或摸牌时可改为自牌堆底部摸牌，
此回合结束时，若这些牌都已离开原位置，你可从同一侧摸等量牌。"										
cc	#VALUE!	应玚	悲骥愁霖	3	篇翩：你可将两张点数相邻的牌当任意基本牌使用；若转化牌名与上次不同，你摸一张牌；若转化底牌与上次仍构成相邻点数，你回复1点体力。	珏决：锁定技，轮次结束时，你失去1 点体力；从弃牌堆选择获得一张点数不为A或K 的牌。									【篇翩】通过点数相邻要素勾勒作诗作赋的画面，然后用转化后不同牌名和转化底牌的前后大衔接提供额外收益，表现从句子到整篇的创作画面，也从游戏性上提高长远布局规划的体验。【珏决】表美玉崩碎，即应玚英年早逝，因瘟疫长辞的结局，锁定技每轮崩血即体现被瘟疫折磨，掉血拿中间点数的牌，即意为“世界以痛吻我，我却报之以歌”，仍要用这些牌（残句）来创作诗赋。技能名【篇翩】【珏决】都为谐音。（ps：拿弃牌堆中不为a或k点牌的要素有撞到刚爆料的族王明山的嫌疑，不过个人贴吧有留档，这个比王明山早几天）	
とわこ	#VALUE!	应玚	悲飘壮赋	3/4	和赋：出牌阶段开始时，你可以与一名其他角色各展示半数手牌（向上取整），若其中有：黑色牌，重铸你与其手中所有伤害牌；红色牌，你回复一点体力，本回合你的“飘离”失效。	飘离：锁定技，你无法使用黑色牌；其他角色使用黑色牌后你获得此牌，然后你弃置你区域内一张牌。									"〖飘离〗指应玚生逢乱世，到处飘零，虽踌躇满志而壮志难酬，其他角色造成伤害的景象刻入应玚眼中，因此获得黑色伤害牌，应玚因战乱而飘离四方，因此弃牌。
〖和赋〗指应玚处于汉、魏战乱时期，对人民的灾难深感同情，他的作品辞情慷慨，深刻反映了汉末社会的动乱和人民流离失所的痛苦，体现了他企盼国家统一的愿望。因此红色牌代表和平愿景，回复体力，有了归宿，〖飘离〗也随之而去；若有黑色牌则会重铸伤害牌，代表应玚心中天下太平无战的美好愿景。"	
とわこ	#VALUE!	郑玄	遍注群经	3	经注：准备阶段，你可以为每种类型的牌声明一个基本牌或普通锦囊牌名（不可重复），本回合内你可以将手中对应类型的全部牌当作一张你所声明的对应牌使用。结束阶段，你摸X张牌（X为本回合你以此法用牌的次数）。										郑玄遍注群经，因此让他遍注群经。	
妙啊	#VALUE!	左思	辨物征实	3	末学：锁定技，你的区域内至多存在六张牌，你不能弃置手牌至小于（0），你的手牌数至少为（0）；一名角色的回合结束时，若你本回合失去过三种类型牌，此技能所有括号内数字+1，至多为3。	览物：一张非转化基本牌被使用进入弃牌堆后，你可以重铸两张同颜色牌，将此牌置入你的宝物栏；你可以将一张花色相同的牌当作此牌使用或打出。									"左思貌寝口讷，常受人鄙视，发愤勤学，终有成就，三都赋出，洛阳纸贵。
左思文风大异两晋流俗，重实际轻形式，为写三都赋多次进行实地调查，“匪本匪实，览者奚信？”
体现在玩法结构上，设置为成长型，先天不足，但通过勤学逐步成长为“三都赋高达形态”吔！"	"①区域内至多存在X张牌：
手牌+装备+判定区牌数和超过X时，需弃至X。
②手牌数至少为X；
你的手牌数减少时，若手牌数少于X张，摸至X张。"
纱布	#VALUE!	王平	兵谋以致用	4	忠戎：结束阶段，你可令一名没有手牌的角色回复一点体力，否则你令其对其攻击范围内的一名角色造成一点伤害。	飞军：出牌阶段结束时，你可弃置所有手牌，若如此做，直到你的下回合开始，其他角色计算与你的距离+1，你的下回合计算与其他角色的距离-1。									"设计思路：
【忠戎】：其效果可以与诸葛亮和马谡进行配合，同时搭配【飞军】也可让自己有一定的发挥。

【飞军】：弃置手牌的效果来自诸葛亮的空城，也与飞军轻装疾行的感觉相称，但王平的疾行也并非完全为了打出伤害，也是为了能从街亭保住自己与部下，尽可能的远离敌军。当整军完毕后，王平也会展示飞军的优势，配合【忠戎】尽可能近的打击敌人。"	
